Song — Artist
"""Slut!"" (Taylor'S Version) (From The Vault) — Taylor Swift"
(Don'T Fear) The Reaper — Blue Öyster Cult
(There'S No Place Like) Home For The Holidays - 1959 Version — Perry Como
16 Carriages — Beyoncé
2 Hands — Tate Mcrae
28 — Zach Bryan
3001 — J. Cole
360 — Charli Xcx
"3D (Feat. Jack Harlow) — Jack Harlow, Jung Kook"
500Lbs — Lil Tecca
505 — Arctic Monkeys
"57 — Dfzm, Feid, Karol G"
7 Minute Drill — J. Cole
7969 Santa — Drake
8Am In Charlotte — Drake
A Bar Song (Tipsy) — Shaboozey
A Holly Jolly Christmas — Burl Ives
"A Night To Remember — Beabadoobee, Laufey"
Abracadabra (Feat. Travis Scott) — Young Thug
Acho Pr — Bad Bunny
Act Ii: Date @ 8 — 4Batz
"Act Ii: Date @ 8 (Feat. Drake) - Remix — 4Batz, Drake"
"Adivino — Bad Bunny, Myke Towers"
Agora Hills — Doja Cat
"Ain'T No Love — Future, Metro Boomin"
Ain'T No Love In Oklahoma (From Twisters: The Album) — Luke Combs
"Ain'T No Mountain High Enough — Marvin Gaye, Tammi Terrell"
Ain'T No Sunshine — Bill Withers
All Alone — Lil Uzi Vert
All I Want For Christmas Is You — Mariah Carey
"All My Life (Feat. J. Cole) — J. Cole, Lil Durk"
All Of Me — 21 Savage
All Red — Playboi Carti
All Summer Long — Kid Rock
All The Parties (Feat. Chief Keef) — Drake
"All The Stars (With Sza) — Kendrick Lamar, Sza"
"All The Way Live (Spider-Man: Across The Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert) — Metro Boomin"
All You Had To Do Was Stay (Taylor'S Version) — Taylor Swift
All-American Bitch — Olivia Rodrigo
Alliigator Tears — Beyoncé
"Am I Dreaming (Metro Boomin & A$Ap Rocky, Roisee) — Metro Boomin"
Amen (Feat. Teezo Touchdown) — Drake
"America Has A Problem (Feat. Kendrick Lamar) — Beyoncé, Kendrick Lamar"
American Girl — Tom Petty And The Heartbreakers
American Kids — Kenny Chesney
American Nights — Zach Bryan
American Pie — Don Mclean
Ameriican Requiem — Beyoncé
"Amg — Gabito Ballesteros, Natanael Cano, Peso Pluma"
Amped — Lil Uzi Vert
"Annihilate (Spider-Man: Across The Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset) — Metro Boomin"
Another Late Night (Feat. Lil Yachty) — Drake
Anthem Part 3 — Blink-182
Anti-Hero — Taylor Swift
Antichrist — Eminem
Apple — Charli Xcx
"Apt. — Bruno Mars, Rosé"
Aquí Te Espero — Ivan Cornejo
Are You Gone Already — Nicki Minaj
"Area Codes — Kali, Kaliii"
As Good As I Once Was — Toby Keith
As It Was — Harry Styles
Attention — Doja Cat
Attitude (Feat. Charlie Wilson & Cash Cobain) — Don Toliver
August — Taylor Swift
Austin — Dasha
Austin (Boots Stop Workin') — Dasha
Away From Home — Drake
Aye (Feat. Travis Scott) — Lil Uzi Vert
Baby Nueva — Bad Bunny
Baby Please — Ivan Cornejo
"Baby, It'S Cold Outside — Dean Martin"
Back At It — Gunna
Back To December (Taylor'S Version) — Taylor Swift
"Back To Me — Kanye West, Ty Dolla $Ign, ¥$"
Back To The Moon — Gunna
Bad Blood (Feat. Kendrick Lamar) (Taylor'S Version) — Taylor Swift
Bad Blood (Taylor'S Version) — Taylor Swift
Bad Habit — Steve Lacy
Bad Idea Right? — Olivia Rodrigo
Bad One — Eminem
Bahamas Promises — Drake
Ballad Of A Homeschooled Girl — Olivia Rodrigo
"Balloon (Feat. Doechii) — Tyler, The Creator"
"Band4Band (Feat. Lil Baby) — Central Cee, Lil Baby"
Bandit — Don Toliver
Barbie Dangerous — Nicki Minaj
"Barbie World (With Aqua) [From Barbie The Album] — Aqua, Ice Spice, Nicki Minaj"
Baticano — Bad Bunny
Bbl Love - Interlude — Drake
Beautiful Things — Benson Boone
Bed Chem — Sabrina Carpenter
Beep Beep — Nicki Minaj
Beer For My Horses — Toby Keith
"Beg Forgiveness — Kanye West, Ty Dolla $Ign, ¥$"
"Bellakeo — Anitta, Peso Pluma"
Belong Together — Mark Ambor
"Best Interest — Tyler, The Creator"
Better Days (Feat. John Mayer) — Zach Bryan
Better Than Revenge (Taylor'S Version) — Taylor Swift
"Big Dawgs — Hanumankind, Kalmi"
Big Difference — Nicki Minaj
Big Foot — Nicki Minaj
Birds Of A Feather — Billie Eilish
Bittersuite — Billie Eilish
Blackbiird — Beyoncé
Blank Space — Taylor Swift
Blank Space (Taylor'S Version) — Taylor Swift
Blinding Lights — The Weeknd
Bloody Mary — Lady Gaga
Blue — Billie Eilish
Blue Christmas — Elvis Presley
Bodyguard — Beyoncé
"Bongos (Feat. Megan Thee Stallion) — Cardi B, Megan Thee Stallion"
Boons — Zach Bryan
Born In The U.S.A. — Bruce Springsteen
"Boy'S A Liar Pt. 2 — Ice Spice, Pinkpantheress"
"Boys Of Faith (Feat. Bon Iver) — Bon Iver, Zach Bryan"
Brand New Dance — Eminem
Breaking News - Skit — Eminem
Breathe — Yeat
Brother Stone (Feat. Kodak Black) — Don Toliver
Brown Eyed Girl — Van Morrison
"Burn — Kanye West, Ty Dolla $Ign, ¥$"
But Daddy I Love Him — Taylor Swift
"Bye — Ariana Grande, Peso Pluma"
Bye Bye Bye - From Deadpool And Wolverine Soundtrack — *Nsync
California Sober (Feat. Chris Stapleton) — Post Malone
Call Your Friends — Rod Wave
Call Your Mom — Noah Kahan
"Calling (Spider-Man: Across The Spider-Verse) (Metro Boomin & Swae Lee, Nav, Feat. A Boogie Wit Da Hoodie) — Metro Boomin"
Calling For You (Feat. 21 Savage) — Drake
Calm Down (With Selena Gomez) — Rema
"Can’T Catch Me Now - From The Hunger Games: The Ballad Of Songbirds & Snakes — Flatland Cavalry, Olivia Rodrigo, Rachel Zegler"
Cardigan — Taylor Swift
"Carnival — Kanye West, Ty Dolla $Ign, ¥$"
Cars Bring Me Out (Feat. Future) — Young Thug
Cassandra — Taylor Swift
