song,artist,album_cover_url
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b2734fdb0337978c7464cdfb1783
Cheeseburger In Paradise,Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b273b065002ec760593ec9dbe305
Chicken Fried,Zac Brown Band,https://i.scdn.co/image/ab67616d0000b27322e4168b05eee8ad21209425
Chill Bae,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b2730e4e16d910115fead3e83496
Christmas Time Is Here,Vince Guaraldi Trio,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Christmas Tree Farm,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273b550071a3fa8e03f6a83f313
Circus Maximus (Feat. The Weeknd & Swae Lee),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Clouded,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a
Cobra,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000b27378fcaabce25281cca2f4f1a5
Come Monday,Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b2730fbb27d908c9b2de1bb5d321
Cool With You,Newjeans,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b
Corazón De Piedra,Xavi,https://i.scdn.co/image/ab67616d0000b273572e681dcdb302d7625b08c7
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,https://i.scdn.co/image/ab67616d0000b273bb5c54a68f9ce31f83b98de4
Cowgirls (Feat. Ernest),Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Cruel Summer - Live From Ts | The Eras Tour,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273f669b4e7f0327c92909bc762
Crush Em,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Cry,Benson Boone,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
Cs,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273644ef53fe49b7e71eed1689b
Cybertruck,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Danger (Spider) (Offset & Jid),Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
Dangerous,21 Savage,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Dark Red,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979
Dawns (Feat. Maggie Rogers),"Maggie Rogers, Zach Bryan",https://i.scdn.co/image/ab67616d0000b273a0a916db0206cc4d773f9013
Days Come And Go,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Dead Or Alive,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96
Deck The Halls,Nat King Cole,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Deep Satin,Zach Bryan,https://i.scdn.co/image/ab67616d0000b2732ebcfb3e92f937a1a4cc16f0
Deeper Well,Kacey Musgraves,https://i.scdn.co/image/ab67616d0000b27393b05c15358c25698086da89
Deli,Ice Spice,https://i.scdn.co/image/ab67616d0000b2733a696fc544995ab8d0d6765f
Demons,Doja Cat,https://i.scdn.co/image/ab67616d0000b273d5fe37ec6d8f78ffc5437859
Desert Eagle,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Devil I'Ve Been (Feat. Ernest),Post Malone,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
Die For You,The Weeknd,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Died And Came Back,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Disco,Surf Curse,https://i.scdn.co/image/ab67616d0000b273938fa1b1ee50acdc57396e2f
Dj Got Us Fallin' In Love (Feat. Pitbull),Usher,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,https://i.scdn.co/image/ab67616d0000b2737459a0913548d00ff4455259
Doctor (Work It Out) [Feat. Miley Cyrus],"Miley Cyrus, Pharrell Williams",https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1
"Dodger Blue (Feat. Wallie The Sensei, Roddy Ricch, Siete7X)",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531
Don'T Understand,Post Malone,https://i.scdn.co/image/ab67616d0000b27371cae34ad5a39bdab78af13e
Doomsday (With Juice Wrld & Cordae),"Cordae, Juice Wrld, Lyrical Lemonade",https://i.scdn.co/image/ab67616d0000b2737a5767f9da2c8a4265f035d4
Dos Días,Tito Double P,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
Drugs You Should Try It,Travis Scott,https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645
East Side Of Sorrow,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
El Azul,"Junior H, Peso Pluma",https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
El Dorado,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
El Gordo Trae El Mando,Chino Pacas,https://i.scdn.co/image/ab67616d0000b2733240b79491b0714245a4ec02
Ella Baila Sola,Eslabon Armado,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
Empire Now,Hozier,https://i.scdn.co/image/ab67616d0000b273a5aab55aa65e5f6bd19564a2
Enchanted,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
Endless Fashion (Feat. Nicki Minaj),Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Enough (Miami),Cardi B,https://i.scdn.co/image/ab67616d0000b273aca7c2e597b9e72708402db9
Enough Is Enough,Post Malone,https://i.scdn.co/image/ab67616d0000b27371cae34ad5a39bdab78af13e
Eta,Newjeans,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b
Everybody (Feat. Lil Uzi Vert),Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Everyday Hustle,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Fallin 4 U,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Fare Well,Hozier,https://i.scdn.co/image/ab67616d0000b273a5aab55aa65e5f6bd19564a2
Favorite Song,Toosii,https://i.scdn.co/image/ab67616d0000b273083c41df2fbc4cf8c54c7858
Favorite Song (Feat. Future) [Toxic Version],"Future, Toosii",https://i.scdn.co/image/ab67616d0000b2736d86caa7e15603b31ce3968d
Fear And Friday'S,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
Fear And Friday'S (Poem),Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
