song,artist,album_cover_url
Anti-Hero,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Antichrist,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Apple,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e
Apt.,"Bruno Mars, Rosé",https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1
Aquí Te Espero,Ivan Cornejo,https://i.scdn.co/image/ab67616d0000b273a6fdbf2cea417b75c23577b4
Are You Gone Already,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Area Codes,"Kali, Kaliii",https://i.scdn.co/image/ab67616d0000b27333a8cd9ae03bc913e6e5af11
As Good As I Once Was,Toby Keith,https://i.scdn.co/image/ab67616d0000b273608370238c487e505e961d15
As It Was,Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Attention,Doja Cat,https://i.scdn.co/image/ab67616d0000b27324b893fb9e7953ebc9517c6a
Attitude (Feat. Charlie Wilson & Cash Cobain),Don Toliver,https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5
August,Taylor Swift,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
Austin,Dasha,https://i.scdn.co/image/ab67616d0000b27376acb5f3e32a3f2485f79f95
Austin (Boots Stop Workin'),Dasha,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb
Away From Home,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Aye (Feat. Travis Scott),Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
Baby Nueva,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Baby Please,Ivan Cornejo,https://i.scdn.co/image/ab67616d0000b273e3ad1f7aff7de8cccde3db73
"Baby, It'S Cold Outside",Dean Martin,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
Back At It,Gunna,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Back To December (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Back To Me,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Back To The Moon,Gunna,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Bad Blood (Feat. Kendrick Lamar) (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b273612fb31cf6802a4704388cbf
Bad Blood (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Bad Habit,Steve Lacy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
Bad Idea Right?,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b2738bfab8d577ad17a7b74d9f5f
Bad One,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Bahamas Promises,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Ballad Of A Homeschooled Girl,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Balloon (Feat. Doechii),"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7
Band4Band (Feat. Lil Baby),"Central Cee, Lil Baby",https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7
Bandit,Don Toliver,https://i.scdn.co/image/ab67616d0000b273a149905378aeccdfcc04aa80
Barbie Dangerous,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Barbie World (With Aqua) [From Barbie The Album],"Aqua, Ice Spice, Nicki Minaj",https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116
Baticano,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Bbl Love - Interlude,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Beautiful Things,Benson Boone,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19
Bed Chem,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Beep Beep,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Beer For My Horses,Toby Keith,https://i.scdn.co/image/ab67616d0000b273bb5c54a68f9ce31f83b98de4
Beg Forgiveness,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Bellakeo,"Anitta, Peso Pluma",https://i.scdn.co/image/ab67616d0000b2736601556a0f7c0b54ded13c9d
Belong Together,Mark Ambor,https://i.scdn.co/image/ab67616d0000b273ed71b8008aaa879622f8c3b5
Best Interest,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273ab8995f18dc3dd9f34a6acd4
Better Days (Feat. John Mayer),Zach Bryan,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
Better Than Revenge (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Big Dawgs,"Hanumankind, Kalmi",https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea
Big Difference,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
Big Foot,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2738e2c1dc6d7d82f966aa11922
Birds Of A Feather,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Bittersuite,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Blackbiird,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Blank Space,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Blank Space (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Bloody Mary,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
Blue,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Blue Christmas,Elvis Presley,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292
Bodyguard,Beyoncé,https://i.scdn.co/image/ab67616d0000b273d9e3a369022053e02b4db2a2
Bongos (Feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",https://i.scdn.co/image/ab67616d0000b273c4bcdce05e247cef2eed06ac
Boons,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
Born In The U.S.A.,Bruce Springsteen,https://i.scdn.co/image/ab67616d0000b273a7865e686c36a4adda6c9978
Boy'S A Liar Pt. 2,"Ice Spice, Pinkpantheress",https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
Boys Of Faith (Feat. Bon Iver),"Bon Iver, Zach Bryan",https://i.scdn.co/image/ab67616d0000b27397be145c0ed84ae353ee3043
Brand New Dance,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Breaking News - Skit,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Breathe,Yeat,https://i.scdn.co/image/ab67616d0000b2739567b80f50a5b9f0178ae993
Brother Stone (Feat. Kodak Black),Don Toliver,https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5
Brown Eyed Girl,Van Morrison,https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936
Burn,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
But Daddy I Love Him,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Bye,"Ariana Grande, Peso Pluma",https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d
Bye Bye Bye - From Deadpool And Wolverine Soundtrack,*Nsync,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
California Sober (Feat. Chris Stapleton),Post Malone,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
Call Your Friends,Rod Wave,https://i.scdn.co/image/ab67616d0000b273fa70e6c804ef13cc249f860c
Call Your Mom,Noah Kahan,https://i.scdn.co/image/ab67616d0000b27365a472d8326d4571bf725422
"Calling (Spider-Man: Across The Spider-Verse) (Metro Boomin & Swae Lee, Nav, Feat. A Boogie Wit Da Hoodie)",Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
Calling For You (Feat. 21 Savage),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Calm Down (With Selena Gomez),Rema,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
Can’T Catch Me Now - From The Hunger Games: The Ballad Of Songbirds & Snakes,"Flatland Cavalry, Olivia Rodrigo, Rachel Zegler",https://i.scdn.co/image/ab67616d0000b27303048c76bec2bdfa92703a5a
Cardigan,Taylor Swift,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
Carnival,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Cars Bring Me Out (Feat. Future),Young Thug,https://i.scdn.co/image/ab67616d0000b273777850f1e77fd525fc6a782f
Cassandra,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
Castles Crumbling (Feat. Hayley Williams) (Taylor’S Version) (From The Vault),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Casual,Chappell Roan,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b2734fdb0337978c7464cdfb1783
Cheeseburger In Paradise,Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b273b065002ec760593ec9dbe305
Chemical,Post Malone,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
Chicken Fried,Zac Brown Band,https://i.scdn.co/image/ab67616d0000b27322e4168b05eee8ad21209425
Chihiro,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Chill Bae,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b2730e4e16d910115fead3e83496
Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
Christmas (Baby Please Come Home),"Darlene Love, Mariah Carey",https://i.scdn.co/image/ab67616d0000b2734bd42504ca3569f71af64fc8
Christmas Time Is Here,Vince Guaraldi Trio,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Christmas Tree Farm,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273b550071a3fa8e03f6a83f313
Cinderella,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Circus Maximus,Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Circus Maximus (Feat. The Weeknd & Swae Lee),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Clara Bow,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Claustrophobic,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Clean (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Close To You,Gracie Abrams,https://i.scdn.co/image/ab67616d0000b27305120ec42445d23764388857
Clouded,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a
Cobra,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000b27378fcaabce25281cca2f4f1a5
Coincidence,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Come Monday,Jimmy Buffett,https://i.scdn.co/image/ab67616d0000b2730fbb27d908c9b2de1bb5d321
Cool With You,Newjeans,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b
