song,artist,album_cover_url
Away From Home,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Aye (Feat. Travis Scott),Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose, Interplanetary Criminal",https://i.scdn.co/image/ab67616d0000b273eb15b994e15a3a6634d1694e
Baby Don'T Hurt Me,"Anne-Marie, Coi Leray, David Guetta",https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
"Baby, It'S Cold Outside (Feat. Meghan Trainor)",Brett Eldredge,https://i.scdn.co/image/ab67616d0000b27387b3fbe945e07da0e7af5e88
Back On 74,Jungle,https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1
Back To December (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Back To Me,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Backbone,"Chase, Status, Stormzy",https://i.scdn.co/image/ab67616d0000b2731c7e93001b846b12ae2c7e3b
Bad Blood (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Bad Dreams,Teddy Swims,https://i.scdn.co/image/ab67616d0000b273de4b0388cb6e5267132a07bc
Bad Idea Right?,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b2738bfab8d577ad17a7b74d9f5f
Bad One,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
"Baddadan (Feat. Irah, Flowdan, Trigga & Takura)","Bou, Chase, Flowdan, Status",https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
Bahamas Promises,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Ballad Of A Homeschooled Girl,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Balloon (Feat. Doechii),"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7
Band4Band (Feat. Lil Baby),"Central Cee, Lil Baby",https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7
Barbie World (With Aqua) [From Barbie The Album],"Aqua, Ice Spice, Nicki Minaj",https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116
Bbl Love - Interlude,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Be The One,It'S Nique,https://i.scdn.co/image/ab67616d0000b273b42509b1a6d375d62e42978d
Beautiful Things,Benson Boone,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19
Bed Chem,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Before You Go,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4
Beg Forgiveness,"Kanye West, Ty Dolla $Ign",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Belong Together,Mark Ambor,https://i.scdn.co/image/ab67616d0000b273ed71b8008aaa879622f8c3b5
Best Song Ever,One Direction,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1
Better Than Revenge (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Big Dawgs,"Hanumankind, Kalmi",https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea
Big Foot,Nicki Minaj,https://i.scdn.co/image/ab67616d0000b2738e2c1dc6d7d82f966aa11922
Birds In The Sky,Newera,https://i.scdn.co/image/ab67616d0000b273308a348db7c25d07b1654abb
Birds Of A Feather,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Bitter Sweet Symphony - Remastered 2016,The Verve,https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45
Bittersuite,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Black Friday,Tom Odell,https://i.scdn.co/image/ab67616d0000b273530fa3c87225dc153c064691
Black Friday (Pretty Like The Sun),"Lost Frequencies, Tom Odell",https://i.scdn.co/image/ab67616d0000b273a0fab1c9bdfc54357ddb89a6
Blackbiird,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Blank Space,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Blank Space (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Bloody Mary,Lady Gaga,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
Blue,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
